32
0	1699	1850	1634	1788	1312	1771	1734	1717	1721	1561	1053	1215	1743	1916	1328	1322	1700	1735	1036	1630	1793	1156	1908	1381	1299	1081	1640	1298	1774	1241	1752	
1699	0	2046	1607	1208	1480	2027	1787	1604	1847	1952	1150	1171	1831	1805	1758	1929	1778	2002	2036	1959	1454	1095	1533	1746	1499	1214	1867	1673	1300	1861	1184	
1850	2046	0	1948	1334	1366	1572	1507	1316	1093	1628	1280	1157	1820	2017	1535	1958	1692	1553	2045	1696	1282	1637	1934	1580	1899	1119	1137	1718	1833	1054	1715	
1634	1607	1948	0	1168	1804	1031	1075	1523	1671	1382	1135	1777	1768	1177	1226	1372	1295	1029	2044	1097	1101	1446	1635	1211	1914	1212	1511	1326	1624	1335	1550	
1788	1208	1334	1168	0	1392	1613	1179	1206	1319	1893	1621	1846	1887	1748	1601	1870	1515	1730	1780	1438	1574	1888	1202	1723	1689	1346	1976	1627	1935	1546	1128	
1312	1480	1366	1804	1392	0	1247	1134	1576	1501	1355	1288	1310	1424	1554	1855	1258	1711	1856	1419	1421	1205	1618	1245	1264	1469	1829	1956	1225	1927	1567	1639	
1771	2027	1572	1031	1613	1247	0	1437	1872	1440	1238	1443	1468	1131	1431	1251	1207	1605	1141	1991	1483	1822	1957	1447	1148	1860	1585	1318	1849	1886	1073	1399	
1734	1787	1507	1075	1179	1134	1437	0	1124	1249	1405	1666	1460	1728	1349	1105	1994	1800	1894	1413	1980	1444	1739	1966	1089	1562	1579	1516	1641	1158	1569	1165	
1717	1604	1316	1523	1206	1576	1872	1124	0	1456	1964	1530	1930	1509	1765	1670	2011	1529	1875	1987	1786	1517	1658	1129	1182	1975	1551	2029	1907	1776	1324	1732	
1721	1847	1093	1671	1319	1501	1440	1249	1456	0	1189	1812	1287	1307	1514	1652	1597	1760	1744	1631	1439	1352	1921	1467	1083	1160	1118	1045	1343	1321	1048	1286	
1561	1952	1628	1382	1893	1355	1238	1405	1964	1189	0	1087	1180	1338	1274	2043	1813	1801	1260	1826	1154	1227	1694	1981	1676	1857	1237	1985	1167	1108	1808	1056	
1053	1150	1280	1135	1621	1288	1443	1666	1530	1812	1087	0	1772	1162	1503	1395	1853	1832	1945	1678	1432	1464	1623	1632	1292	1370	1558	1418	2038	1410	1163	1588	
1215	1171	1157	1777	1846	1310	1468	1460	1930	1287	1180	1772	0	1596	1248	1268	1834	1868	1972	1079	1125	1990	1367	1259	1161	1071	1625	1126	1365	1229	1926	1400	
1743	1831	1820	1768	1887	1424	1131	1728	1509	1307	1338	1162	1596	0	1953	2010	1918	1565	1685	1063	1297	1563	1749	1995	1615	1065	1933	1112	2000	1224	1902	1984	
1916	1805	2017	1177	1748	1554	1431	1349	1765	1514	1274	1503	1248	1953	0	2026	1542	1269	1871	1809	1796	1139	1375	1178	1348	1731	1784	2022	1848	1756	1043	1110	
