22
0	736	585	308	803	745	916	494	283	893	68	484	835	922	167	287	755	966	554	714	469	704	
736	0	797	671	156	600	337	996	100	275	866	268	734	369	289	304	903	474	431	375	485	340	
585	797	0	677	841	727	514	67	836	152	462	762	683	171	143	605	540	771	244	367	650	979	
308	671	677	0	696	572	697	987	669	312	940	871	740	945	951	385	901	802	333	214	386	285	
803	156	841	696	0	339	338	112	319	243	477	453	226	813	874	794	833	837	810	197	391	124	
745	600	727	572	339	0	701	591	610	103	584	892	266	870	356	436	773	759	108	173	788	296	
916	337	514	697	338	701	0	70	483	351	343	294	847	525	528	581	561	816	631	934	721	915	
494	996	67	987	112	591	70	0	703	642	636	673	986	350	162	612	99	667	674	680	995	917	
283	100	836	669	319	610	483	703	0	389	830	553	618	785	948	614	942	135	157	261	724	972	
893	275	152	312	243	103	351	642	389	0	982	355	229	537	127	420	921	270	523	778	619	973	
68	866	462	940	477	584	343	636	830	982	0	174	977	876	468	284	345	969	641	460	965	90	
484	268	762	871	453	892	294	673	553	355	174	0	160	533	575	950	165	256	884	249	822	141	
835	734	683	740	226	266	847	986	618	229	977	160	0	825	542	332	97	429	482	117	220	888	
922	369	171	945	813	870	525	350	785	537	876	533	825	0	747	781	763	633	195	313	919	205	
167	289	143	951	874	356	528	162	948	127	468	575	542	747	0	250	400	638	834	878	832	290	
287	304	605	385	794	436	581	612	614	420	284	950	332	781	250	0	944	159	258	782	234	326	
755	903	540	901	833	773	561	99	942	921	345	165	97	763	400	944	0	718	510	962	185	608	
966	474	771	802	837	759	816	667	135	270	969	256	429	633	638	159	718	0	624	693	65	78	
554	431	244	333	810	108	631	674	157	523	641	884	482	195	834	258	510	624	0	611	604	587	
714	375	367	214	197	173	934	680	261	778	460	249	117	313	878	782	962	693	611	0	840	679	
469	485	650	386	391	788	721	995	724	619	965	822	220	919	832	234	185	65	604	840	0	984	
704	340	979	285	124	296	915	917	972	973	90	141	888	205	290	326	608	78	587	679	984	0	
